student_id,group,cohort_entry_year,subject,difficulty,requires_attendance,subject_total_semesters,semester,attendance_pct,work1,work2,work3,work4,work5,exam
STU003968,2023-01,2023,Инженерная графика,normal,0,1,1,34.7,0,0,2,4,0,2
STU003968,2023-01,2023,История России,easy,1,1,1,64.4,0,5,0,0,0,0
STU003968,2023-01,2023,Иностранный язык,normal,1,4,1,47.3,3,4,4,0,0,3
STU003968,2023-01,2023,Физическая культура,easy,1,6,1,65.7,6,5,7,0,8,0
STU003969,2023-01,2023,Математический анализ I,hard,0,2,1,83.6,8,5,6,8,7,6
STU003969,2023-01,2023,Введение в программирование,normal,0,1,1,94.1,6,5,7,7,4,7
STU003969,2023-01,2023,Инженерная графика,normal,0,1,1,83.7,4,7,8,6,10,6
STU003969,2023-01,2023,История России,easy,1,1,1,99.3,7,9,9,7,9,8
STU003969,2023-01,2023,Иностранный язык,normal,1,4,1,81.9,9,10,10,10,9,10
STU003969,2023-01,2023,Физическая культура,easy,1,6,1,91.7,8,6,5,8,10,8
STU003970,2023-01,2023,Математический анализ I,hard,0,2,1,88.5,8,5,9,5,6,7
STU003970,2023-01,2023,Введение в программирование,normal,0,1,1,72.2,7,5,5,4,2,5
STU003970,2023-01,2023,Инженерная графика,normal,0,1,1,75.8,9,5,7,5,4,6
STU003970,2023-01,2023,История России,easy,1,1,1,86,6,9,7,6,4,7
STU003970,2023-01,2023,Иностранный язык,normal,1,4,1,85.4,6,4,5,5,4,7
STU003970,2023-01,2023,Физическая культура,easy,1,6,1,80.7,7,7,10,6,5,8
STU003971,2023-01,2023,Математический анализ I,hard,0,2,1,88.1,8,9,8,8,8,8
STU003971,2023-01,2023,Введение в программирование,normal,0,1,1,76.2,10,8,10,10,10,10
STU003971,2023-01,2023,Инженерная графика,normal,0,1,1,73.4,8,3,4,5,8,0
STU003971,2023-01,2023,История России,easy,1,1,1,88,8,8,9,8,7,8
STU003971,2023-01,2023,Иностранный язык,normal,1,4,1,75.4,10,10,7,8,5,0
STU003971,2023-01,2023,Физическая культура,easy,1,6,1,81.9,9,7,6,8,10,9
STU003972,2023-01,2023,Математический анализ I,hard,0,2,1,84.4,0,7,7,0,5,7
STU003972,2023-01,2023,Введение в программирование,normal,0,1,1,87.6,5,4,9,6,8,5
STU003972,2023-01,2023,Инженерная графика,normal,0,1,1,80.1,5,5,7,6,5,5
STU003972,2023-01,2023,История России,easy,1,1,1,86.5,7,8,7,5,7,7
STU003972,2023-01,2023,Иностранный язык,normal,1,4,1,76.7,9,9,3,6,4,4
STU003972,2023-01,2023,Физическая культура,easy,1,6,1,82.2,7,9,10,8,7,8
STU003973,2023-01,2023,Математический анализ I,hard,0,2,1,83.4,2,5,5,8,4,5
STU003973,2023-01,2023,Введение в программирование,normal,0,1,1,91,6,8,10,7,8,9
STU003973,2023-01,2023,Инженерная графика,normal,0,1,1,82.9,9,9,8,8,8,9
STU003973,2023-01,2023,История России,easy,1,1,1,95.5,10,7,10,10,6,8
STU003973,2023-01,2023,Иностранный язык,normal,1,4,1,91.9,5,7,7,0,7,7
STU003973,2023-01,2023,Физическая культура,easy,1,6,1,83.5,7,7,3,6,7,5
STU003974,2023-01,2023,Математический анализ I,hard,0,2,1,86.3,2,0,1,5,2,2
STU003974,2023-01,2023,Введение в программирование,normal,0,1,1,89.8,8,10,7,8,9,9
STU003974,2023-01,2023,Инженерная графика,normal,0,1,1,95.7,9,6,6,8,5,6
STU003974,2023-01,2023,История России,easy,1,1,1,100,10,9,10,9,9,9
STU003974,2023-01,2023,Иностранный язык,normal,1,4,1,95.9,8,10,6,10,7,6
STU003974,2023-01,2023,Физическая культура,easy,1,6,1,90.7,10,7,0,8,8,8
STU003975,2023-01,2023,Математический анализ I,hard,0,2,1,84.5,4,5,5,6,5,5
STU003975,2023-01,2023,Введение в программирование,normal,0,1,1,82,10,7,8,0,6,8
STU003975,2023-01,2023,Инженерная графика,normal,0,1,1,87.9,6,8,6,8,8,7
STU003975,2023-01,2023,История России,easy,1,1,1,81.3,10,10,8,8,7,7
STU003975,2023-01,2023,Иностранный язык,normal,1,4,1,90.2,5,4,3,0,6,4
STU003975,2023-01,2023,Физическая культура,easy,1,6,1,88.5,8,0,7,9,10,7
STU003976,2023-01,2023,Математический анализ I,hard,0,2,1,89.9,2,2,3,4,6,4
STU003976,2023-01,2023,Введение в программирование,normal,0,1,1,86.9,7,10,4,5,8,5
STU003976,2023-01,2023,Инженерная графика,normal,0,1,1,82.7,6,8,7,3,6,4
STU003976,2023-01,2023,История России,easy,1,1,1,92.4,10,10,8,9,8,9
STU003976,2023-01,2023,Иностранный язык,normal,1,4,1,100,0,10,10,10,10,9
STU003976,2023-01,2023,Физическая культура,easy,1,6,1,97.5,8,10,10,8,7,10
STU003977,2023-01,2023,Математический анализ I,hard,0,2,1,74.2,7,9,6,7,9,8
STU003977,2023-01,2023,Введение в программирование,normal,0,1,1,74.4,10,5,7,4,6,0
STU003977,2023-01,2023,Инженерная графика,normal,0,1,1,83.8,9,10,6,7,9,7
STU003977,2023-01,2023,История России,easy,1,1,1,75.1,6,7,8,10,7,7
STU003977,2023-01,2023,Иностранный язык,normal,1,4,1,78.7,8,7,5,5,7,6
STU003977,2023-01,2023,Физическая культура,easy,1,6,1,69.6,9,7,9,4,5,8
STU003978,2023-01,2023,Математический анализ I,hard,0,2,1,73.2,6,3,6,8,1,4
STU003978,2023-01,2023,Введение в программирование,normal,0,1,1,78.4,1,5,1,3,1,3
STU003978,2023-01,2023,Инженерная графика,normal,0,1,1,87.1,3,3,5,2,5,3
STU003978,2023-01,2023,История России,easy,1,1,1,95.1,8,8,10,6,10,9
STU003978,2023-01,2023,Иностранный язык,normal,1,4,1,85.5,7,9,9,10,4,7
STU003978,2023-01,2023,Физическая культура,easy,1,6,1,91.5,10,7,10,9,6,10
STU003979,2023-01,2023,Математический анализ I,hard,0,2,1,86.6,10,9,5,7,0,7
STU003979,2023-01,2023,Введение в программирование,normal,0,1,1,78.5,5,7,8,7,8,7
STU003979,2023-01,2023,Инженерная графика,normal,0,1,1,88.1,8,9,6,5,7,6
STU003979,2023-01,2023,История России,easy,1,1,1,92.5,9,10,10,7,10,10
STU003979,2023-01,2023,Иностранный язык,normal,1,4,1,92.4,7,7,9,7,8,8
STU003979,2023-01,2023,Физическая культура,easy,1,6,1,84.7,4,2,3,4,0,3
STU003980,2023-01,2023,Математический анализ I,hard,0,2,1,70.7,0,1,3,5,5,4
STU003980,2023-01,2023,Введение в программирование,normal,0,1,1,83.4,4,5,6,7,5,6
STU003980,2023-01,2023,Инженерная графика,normal,0,1,1,77.6,9,7,8,8,10,8
STU003980,2023-01,2023,История России,easy,1,1,1,94.7,10,10,10,10,10,9
STU003980,2023-01,2023,Иностранный язык,normal,1,4,1,84.3,8,4,7,9,10,8
STU003980,2023-01,2023,Физическая культура,easy,1,6,1,77.6,8,8,7,6,6,9
STU003981,2023-01,2023,Математический анализ I,hard,0,2,1,81.3,4,6,5,4,2,6
STU003981,2023-01,2023,Введение в программирование,normal,0,1,1,93.8,6,7,0,10,8,8
STU003981,2023-01,2023,Инженерная графика,normal,0,1,1,87.5,9,9,5,8,7,8
STU003981,2023-01,2023,История России,easy,1,1,1,95.1,9,10,7,7,0,7
STU003981,2023-01,2023,Иностранный язык,normal,1,4,1,90.3,8,6,7,7,0,6
STU003981,2023-01,2023,Физическая культура,easy,1,6,1,82.9,10,10,10,10,10,10
STU003982,2023-01,2023,Математический анализ I,hard,0,2,1,100,8,5,8,7,7,8
STU003982,2023-01,2023,Введение в программирование,normal,0,1,1,89.1,0,6,8,6,7,5
STU003982,2023-01,2023,Инженерная графика,normal,0,1,1,92.3,6,2,5,6,8,5
STU003982,2023-01,2023,История России,easy,1,1,1,100,0,7,0,4,7,5
STU003982,2023-01,2023,Иностранный язык,normal,1,4,1,92.1,8,4,8,8,6,6
STU003982,2023-01,2023,Физическая культура,easy,1,6,1,92,7,7,8,8,8,8
STU003983,2023-01,2023,Математический анализ I,hard,0,2,1,84.4,6,5,6,5,4,5
STU003983,2023-01,2023,Введение в программирование,normal,0,1,1,78.9,7,8,0,7,6,7
STU003983,2023-01,2023,Инженерная графика,normal,0,1,1,94.7,6,10,7,9,9,8
STU003983,2023-01,2023,История России,easy,1,1,1,85.3,8,10,10,10,9,10
STU003983,2023-01,2023,Иностранный язык,normal,1,4,1,81,6,10,9,5,0,8
STU003983,2023-01,2023,Физическая культура,easy,1,6,1,92.9,10,9,10,9,10,10
STU003984,2023-01,2023,Математический анализ I,hard,0,2,1,84.2,7,8,7,7,4,5
STU003984,2023-01,2023,Введение в программирование,normal,0,1,1,76.7,9,8,7,7,6,7
STU003984,2023-01,2023,Инженерная графика,normal,0,1,1,83.6,8,6,4,3,6,6
STU003984,2023-01,2023,История России,easy,1,1,1,86.5,6,9,8,5,9,8
STU003984,2023-01,2023,Иностранный язык,normal,1,4,1,74,7,9,9,7,7,0
STU003984,2023-01,2023,Физическая культура,easy,1,6,1,73.7,6,7,7,5,8,8
STU003985,2023-01,2023,Математический анализ I,hard,0,2,1,92.8,7,5,0,6,5,5
STU003985,2023-01,2023,Введение в программирование,normal,0,1,1,76.3,5,7,7,5,9,6
STU003985,2023-01,2023,Инженерная графика,normal,0,1,1,94.7,9,10,9,9,10,8
STU003985,2023-01,2023,История России,easy,1,1,1,93.4,6,10,7,10,7,10
STU003985,2023-01,2023,Иностранный язык,normal,1,4,1,88,8,8,8,5,7,10
STU003985,2023-01,2023,Физическая культура,easy,1,6,1,82.3,10,10,10,10,9,8
STU003964,2023-01,2023,Математический анализ I,hard,0,2,2,72.6,7,7,7,4,6,6
STU003964,2023-01,2023,Линейная алгебра и геометрия,normal,0,1,2,80,5,7,0,5,6,6
STU003964,2023-01,2023,Дискретная математика,normal,0,1,2,76.1,7,6,8,7,9,8
STU003964,2023-01,2023,Объектно-ориентированное программирование,normal,0,1,2,74.9,7,3,6,6,7,4
STU003964,2023-01,2023,Физика I (механика),hard,0,2,2,75.4,2,2,1,2,1,2
STU003964,2023-01,2023,Материаловедение,normal,0,1,2,66.4,3,5,6,3,4,0
STU003964,2023-01,2023,Иностранный язык,normal,1,4,2,85.6,0,9,4,10,8,8
STU003964,2023-01,2023,Физическая культура,easy,1,6,2,79.5,7,7,7,7,10,8
STU003965,2023-01,2023,Математический анализ I,hard,0,2,2,40.4,0,7,0,4,0,5
STU003965,2023-01,2023,Линейная алгебра и геометрия,normal,0,1,2,49.3,4,0,0,6,0,0
STU003965,2023-01,2023,Дискретная математика,normal,0,1,2,59.1,7,5,2,5,0,6
STU003965,2023-01,2023,Объектно-ориентированное программирование,normal,0,1,2,38.4,2,3,0,6,0,3
STU003965,2023-01,2023,Физика I (механика),hard,0,2,2,33.5,0,2,0,0,0,0
STU003965,2023-01,2023,Материаловедение,normal,0,1,2,46.7,5,6,0,0,0,0
STU003965,2023-01,2023,Иностранный язык,normal,1,4,2,44.7,4,3,0,0,0,2
STU003965,2023-01,2023,Физическая культура,easy,1,6,2,56.7,0,4,5,0,4,0
STU003966,2023-01,2023,Математический анализ I,hard,0,2,2,92.9,9,7,8,8,9,9
STU003966,2023-01,2023,Линейная алгебра и геометрия,normal,0,1,2,92.2,10,7,8,9,10,9
STU003966,2023-01,2023,Дискретная математика,normal,0,1,2,91.9,8,10,7,9,9,9
STU003966,2023-01,2023,Объектно-ориентированное программирование,normal,0,1,2,89.6,10,10,9,10,7,9
STU003966,2023-01,2023,Физика I (механика),hard,0,2,2,93.9,9,9,7,9,6,9
STU003966,2023-01,2023,Материаловедение,normal,0,1,2,88.1,9,10,7,10,10,10
STU003966,2023-01,2023,Иностранный язык,normal,1,4,2,95.7,9,6,7,10,8,9
STU003966,2023-01,2023,Физическая культура,easy,1,6,2,96.4,9,9,10,8,7,9
STU003967,2023-01,2023,Математический анализ I,hard,0,2,2,67.9,5,0,7,5,6,0
STU003967,2023-01,2023,Линейная алгебра и геометрия,normal,0,1,2,83.2,10,4,7,7,8,8
STU003967,2023-01,2023,Дискретная математика,normal,0,1,2,68.2,9,0,8,0,8,7
STU003967,2023-01,2023,Объектно-ориентированное программирование,normal,0,1,2,76.8,1,5,2,2,5,3
STU003967,2023-01,2023,Физика I (механика),hard,0,2,2,76.5,5,7,7,4,8,3
STU003967,2023-01,2023,Материаловедение,normal,0,1,2,72.1,5,1,3,0,4,4
STU003967,2023-01,2023,Иностранный язык,normal,1,4,2,87.7,5,0,4,9,6,6
STU003967,2023-01,2023,Физическая культура,easy,1,6,2,93.5,7,7,10,10,7,9
STU003969,2023-01,2023,Математический анализ I,hard,0,2,2,86.9,0,1,10,0,6,4
STU003969,2023-01,2023,Линейная алгебра и геометрия,normal,0,1,2,84.6,5,9,6,8,5,7
STU003969,2023-01,2023,Дискретная математика,normal,0,1,2,82.8,5,0,9,6,8,8
STU003969,2023-01,2023,Объектно-ориентированное программирование,normal,0,1,2,72.9,6,6,7,6,0,7
STU003969,2023-01,2023,Физика I (механика),hard,0,2,2,84.4,8,0,3,6,6,4
STU003969,2023-01,2023,Материаловедение,normal,0,1,2,79.7,8,8,9,7,8,8
STU003969,2023-01,2023,Иностранный язык,normal,1,4,2,76.2,0,10,10,10,10,10
STU003969,2023-01,2023,Физическая культура,easy,1,6,2,84,6,7,0,8,7,6
STU003970,2023-01,2023,Математический анализ I,hard,0,2,2,62.9,6,5,6,0,2,4
STU003970,2023-01,2023,Линейная алгебра и геометрия,normal,0,1,2,72.2,10,4,9,7,6,9
STU003970,2023-01,2023,Дискретная математика,normal,0,1,2,77.5,8,7,6,9,9,7
STU003970,2023-01,2023,Объектно-ориентированное программирование,normal,0,1,2,76.2,2,3,2,6,5,3
STU003970,2023-01,2023,Физика I (механика),hard,0,2,2,66.3,0,3,5,5,0,5
STU003970,2023-01,2023,Материаловедение,normal,0,1,2,81.9,4,4,8,7,0,5
STU003970,2023-01,2023,Иностранный язык,normal,1,4,2,78.7,5,5,7,5,6,6
STU003970,2023-01,2023,Физическая культура,easy,1,6,2,73.9,7,8,8,9,6,7
STU003971,2023-01,2023,Математический анализ I,hard,0,2,2,89.9,6,8,8,6,6,8
STU003971,2023-01,2023,Линейная алгебра и геометрия,normal,0,1,2,81.8,6,9,5,10,9,8
STU003971,2023-01,2023,Дискретная математика,normal,0,1,2,76.2,9,6,10,10,10,9
STU003971,2023-01,2023,Объектно-ориентированное программирование,normal,0,1,2,86.1,10,9,10,10,10,8
STU003971,2023-01,2023,Физика I (механика),hard,0,2,2,78.1,3,5,7,3,5,6
STU003971,2023-01,2023,Материаловедение,normal,0,1,2,83.3,9,7,0,6,5,6
STU003971,2023-01,2023,Иностранный язык,normal,1,4,2,79.4,9,0,10,10,9,9
STU003971,2023-01,2023,Физическая культура,easy,1,6,2,80,9,10,7,10,7,10
STU003972,2023-01,2023,Математический анализ I,hard,0,2,2,78.8,6,7,0,5,7,6
STU003972,2023-01,2023,Линейная алгебра и геометрия,normal,0,1,2,94.1,8,8,9,7,4,7
STU003972,2023-01,2023,Дискретная математика,normal,0,1,2,79.5,9,6,7,9,10,9
STU003972,2023-01,2023,Объектно-ориентированное программирование,normal,0,1,2,70.8,5,8,5,5,6,6
STU003972,2023-01,2023,Физика I (механика),hard,0,2,2,91.7,7,7,6,7,0,7
STU003972,2023-01,2023,Материаловедение,normal,0,1,2,87.2,4,4,2,6,5,5
STU003972,2023-01,2023,Иностранный язык,normal,1,4,2,77.6,6,9,7,5,6,6
STU003972,2023-01,2023,Физическая культура,easy,1,6,2,100,10,10,10,9,10,10
STU003973,2023-01,2023,Математический анализ I,hard,0,2,2,83.6,2,4,5,3,6,3
STU003973,2023-01,2023,Линейная алгебра и геометрия,normal,0,1,2,84.8,6,5,5,7,6,6
STU003973,2023-01,2023,Дискретная математика,normal,0,1,2,76,6,6,7,10,4,6
STU003973,2023-01,2023,Объектно-ориентированное программирование,normal,0,1,2,85,8,5,6,7,8,7
STU003973,2023-01,2023,Физика I (механика),hard,0,2,2,87.1,3,5,4,4,2,4
STU003973,2023-01,2023,Материаловедение,normal,0,1,2,67.5,8,7,8,7,8,8
STU003973,2023-01,2023,Иностранный язык,normal,1,4,2,91.6,10,7,7,8,9,8
STU003973,2023-01,2023,Физическая культура,easy,1,6,2,90.2,3,4,3,7,4,4
STU003974,2023-01,2023,Математический анализ I,hard,0,2,2,85.9,2,3,1,2,4,3
STU003974,2023-01,2023,Линейная алгебра и геометрия,normal,0,1,2,81.1,3,0,4,6,2,4
STU003974,2023-01,2023,Дискретная математика,normal,0,1,2,85,3,3,4,1,6,2
STU003974,2023-01,2023,Объектно-ориентированное программирование,normal,0,1,2,81.8,10,8,10,10,10,9
STU003974,2023-01,2023,Физика I (механика),hard,0,2,2,80.8,6,6,8,9,5,7
STU003974,2023-01,2023,Материаловедение,normal,0,1,2,94.6,6,10,5,7,6,6
STU003974,2023-01,2023,Иностранный язык,normal,1,4,2,91.2,8,8,9,8,8,6
STU003974,2023-01,2023,Физическая культура,easy,1,6,2,91.8,7,8,10,10,10,9
STU003975,2023-01,2023,Математический анализ I,hard,0,2,2,73.3,6,5,4,4,6,6
STU003975,2023-01,2023,Линейная алгебра и геометрия,normal,0,1,2,85.8,7,6,5,5,7,7
STU003975,2023-01,2023,Дискретная математика,normal,0,1,2,74.5,6,8,5,0,5,6
STU003975,2023-01,2023,Объектно-ориентированное программирование,normal,0,1,2,85.3,7,5,7,5,9,8
STU003975,2023-01,2023,Физика I (механика),hard,0,2,2,73.1,0,10,7,6,4,5
STU003975,2023-01,2023,Материаловедение,normal,0,1,2,78.5,10,10,7,10,9,9
STU003975,2023-01,2023,Иностранный язык,normal,1,4,2,79.6,4,0,3,6,3,4
STU003975,2023-01,2023,Физическая культура,easy,1,6,2,87.8,10,0,10,8,7,6
STU003976,2023-01,2023,Математический анализ I,hard,0,2,2,79.3,1,5,5,4,2,6
STU003976,2023-01,2023,Линейная алгебра и геометрия,normal,0,1,2,79.9,0,5,6,4,9,5
STU003976,2023-01,2023,Дискретная математика,normal,0,1,2,75.5,7,5,6,6,7,6
STU003976,2023-01,2023,Объектно-ориентированное программирование,normal,0,1,2,86.9,6,7,6,6,6,6
STU003976,2023-01,2023,Физика I (механика),hard,0,2,2,87.1,5,6,7,8,4,5
STU003976,2023-01,2023,Материаловедение,normal,0,1,2,79,4,0,7,6,7,6
STU003976,2023-01,2023,Иностранный язык,normal,1,4,2,74.8,0,10,8,9,9,9
STU003976,2023-01,2023,Физическая культура,easy,1,6,2,86.5,8,9,9,5,8,7
STU003977,2023-01,2023,Математический анализ I,hard,0,2,2,68.1,5,8,8,6,8,7
STU003977,2023-01,2023,Линейная алгебра и геометрия,normal,0,1,2,77.2,7,10,7,10,8,7
STU003977,2023-01,2023,Дискретная математика,normal,0,1,2,77.1,6,5,4,7,6,5
STU003977,2023-01,2023,Объектно-ориентированное программирование,normal,0,1,2,82.5,8,0,7,8,5,6
STU003977,2023-01,2023,Физика I (механика),hard,0,2,2,74.1,6,5,3,3,5,3
STU003977,2023-01,2023,Материаловедение,normal,0,1,2,65.2,3,6,6,9,4,6
STU003977,2023-01,2023,Иностранный язык,normal,1,4,2,83.9,5,6,7,8,0,5
STU003977,2023-01,2023,Физическая культура,easy,1,6,2,77.4,7,8,9,9,7,8
STU003978,2023-01,2023,Математический анализ I,hard,0,2,2,66.8,7,4,3,7,4,3
STU003978,2023-01,2023,Линейная алгебра и геометрия,normal,0,1,2,87.5,8,4,5,8,8,8
STU003978,2023-01,2023,Дискретная математика,normal,0,1,2,76.9,4,7,5,6,6,0
STU003978,2023-01,2023,Объектно-ориентированное программирование,normal,0,1,2,96.9,2,5,0,4,1,2
STU003978,2023-01,2023,Физика I (механика),hard,0,2,2,91,6,7,5,6,4,5
STU003978,2023-01,2023,Материаловедение,normal,0,1,2,76.9,3,3,0,3,0,2
STU003978,2023-01,2023,Иностранный язык,normal,1,4,2,95.4,8,10,5,6,10,8
STU003978,2023-01,2023,Физическая культура,easy,1,6,2,83,8,10,7,7,10,6
STU003979,2023-01,2023,Математический анализ I,hard,0,2,2,74.8,5,6,8,9,7,7
STU003979,2023-01,2023,Линейная алгебра и геометрия,normal,0,1,2,79.3,0,9,9,10,9,8
STU003979,2023-01,2023,Дискретная математика,normal,0,1,2,78.2,7,10,9,10,10,7
STU003979,2023-01,2023,Объектно-ориентированное программирование,normal,0,1,2,75,6,8,0,6,3,5
STU003979,2023-01,2023,Физика I (механика),hard,0,2,2,75.5,6,3,4,3,2,3
STU003979,2023-01,2023,Материаловедение,normal,0,1,2,75.7,7,6,7,8,6,7
STU003979,2023-01,2023,Иностранный язык,normal,1,4,2,84.1,0,9,8,9,7,8
STU003979,2023-01,2023,Физическая культура,easy,1,6,2,80.4,6,1,8,4,4,5
STU003980,2023-01,2023,Математический анализ I,hard,0,2,2,77.3,6,3,4,5,6,0
STU003980,2023-01,2023,Линейная алгебра и геометрия,normal,0,1,2,54.2,0,3,3,7,0,5
STU003980,2023-01,2023,Дискретная математика,normal,0,1,2,62.1,3,0,5,4,6,5
STU003980,2023-01,2023,Объектно-ориентированное программирование,normal,0,1,2,82.1,9,7,0,10,7,7
STU003980,2023-01,2023,Физика I (механика),hard,0,2,2,84.6,3,6,5,0,3,5
STU003980,2023-01,2023,Материаловедение,normal,0,1,2,81.1,9,7,7,10,10,8
STU003980,2023-01,2023,Иностранный язык,normal,1,4,2,77.9,6,7,5,6,9,6
STU003980,2023-01,2023,Физическая культура,easy,1,6,2,86.8,9,10,9,10,10,9
STU003981,2023-01,2023,Математический анализ I,hard,0,2,2,85.1,4,3,3,0,4,3
STU003981,2023-01,2023,Линейная алгебра и геометрия,normal,0,1,2,75.9,7,7,6,3,5,5
STU003981,2023-01,2023,Дискретная математика,normal,0,1,2,73.6,4,4,5,5,8,4
STU003981,2023-01,2023,Объектно-ориентированное программирование,normal,0,1,2,92.8,8,6,7,10,9,8
STU003981,2023-01,2023,Физика I (механика),hard,0,2,2,82.2,6,5,2,3,7,5
STU003981,2023-01,2023,Материаловедение,normal,0,1,2,82.3,9,10,6,8,7,7
STU003981,2023-01,2023,Иностранный язык,normal,1,4,2,100,8,3,4,6,0,6
STU003981,2023-01,2023,Физическая культура,easy,1,6,2,95.8,0,8,10,10,9,10
STU003982,2023-01,2023,Математический анализ I,hard,0,2,2,84.5,3,2,5,7,1,4
STU003982,2023-01,2023,Линейная алгебра и геометрия,normal,0,1,2,81.1,8,6,8,4,7,6
STU003982,2023-01,2023,Дискретная математика,normal,0,1,2,89.7,7,8,4,5,9,7
STU003982,2023-01,2023,Объектно-ориентированное программирование,normal,0,1,2,84.5,6,3,4,7,7,5
STU003982,2023-01,2023,Физика I (механика),hard,0,2,2,80.8,0,5,5,4,3,3
STU003982,2023-01,2023,Материаловедение,normal,0,1,2,86.6,0,3,0,4,8,3
STU003982,2023-01,2023,Иностранный язык,normal,1,4,2,100,6,5,8,8,8,5
STU003982,2023-01,2023,Физическая культура,easy,1,6,2,100,8,8,9,9,8,8
STU003983,2023-01,2023,Математический анализ I,hard,0,2,2,73,2,4,9,6,4,4
STU003983,2023-01,2023,Линейная алгебра и геометрия,normal,0,1,2,75.3,6,7,7,6,7,5
STU003983,2023-01,2023,Дискретная математика,normal,0,1,2,93,8,8,5,3,8,6
STU003983,2023-01,2023,Объектно-ориентированное программирование,normal,0,1,2,75.3,6,7,0,7,7,7
STU003983,2023-01,2023,Физика I (механика),hard,0,2,2,73,5,8,2,5,7,4
STU003983,2023-01,2023,Материаловедение,normal,0,1,2,67.3,7,7,7,10,8,0
STU003983,2023-01,2023,Иностранный язык,normal,1,4,2,74.1,6,6,6,6,8,6
STU003983,2023-01,2023,Физическая культура,easy,1,6,2,84.1,10,9,9,8,10,9
STU003984,2023-01,2023,Математический анализ I,hard,0,2,2,66.5,9,5,6,8,0,8
STU003984,2023-01,2023,Линейная алгебра и геометрия,normal,0,1,2,76.2,7,5,9,7,4,8
STU003984,2023-01,2023,Дискретная математика,normal,0,1,2,81.6,8,10,7,9,7,9
STU003984,2023-01,2023,Объектно-ориентированное программирование,normal,0,1,2,89.9,9,6,7,5,5,8
STU003984,2023-01,2023,Физика I (механика),hard,0,2,2,78.1,0,6,0,8,9,5
STU003984,2023-01,2023,Материаловедение,normal,0,1,2,83.8,9,7,7,6,9,7
STU003984,2023-01,2023,Иностранный язык,normal,1,4,2,88.3,6,7,10,7,5,8
STU003984,2023-01,2023,Физическая культура,easy,1,6,2,84.5,8,10,10,8,7,7
STU003985,2023-01,2023,Математический анализ I,hard,0,2,2,70.1,4,1,3,7,8,5
STU003985,2023-01,2023,Линейная алгебра и геометрия,normal,0,1,2,83.1,6,7,8,7,7,0
STU003985,2023-01,2023,Дискретная математика,normal,0,1,2,78.7,4,7,6,7,7,0
STU003985,2023-01,2023,Объектно-ориентированное программирование,normal,0,1,2,83.2,6,5,7,5,4,4
STU003985,2023-01,2023,Физика I (механика),hard,0,2,2,72.7,5,6,6,3,6,5
STU003985,2023-01,2023,Материаловедение,normal,0,1,2,81.8,0,7,7,8,8,9
STU003985,2023-01,2023,Иностранный язык,normal,1,4,2,87.5,9,6,7,7,7,0
STU003985,2023-01,2023,Физическая культура,easy,1,6,2,69.7,8,8,8,8,10,9
STU003964,2023-01,2023,Математический анализ II,hard,0,2,3,64.9,8,1,6,7,6,5
